Timestamp,Total final consumption / Mean values [W],temperature_2m (°C),Is_Daylight,Lights,Month,Day Type,Hour,Avg Peak Consumption (W),Avg Low Consumption (W),Max Peak Consumption (W),Min Avg Low Consumption (W),Date,Percentage Increase,Active,Sleep,light_amount,Kitchen,fridge_max,Fridge_E,activity_intensity,LCD_TV,Games_Console,Cell_Phone,Washing_machine,Computer_desk,heating,Unknown
2019-01-23 11:00:00,1838.0,18.9,1,0.0,1,Weekday,11,2209.9049144261,404.92379663740746,2723.436044273825,348.7952796194152,2019-01-23,174.32835820895522,1,0,0.0,0.0,476.1021481958763,382.4157799692026,6.733850275491155,175.0,5,0,0.0,10.0,0.0,1265.5842200307975
2019-01-23 12:00:00,1441.0,20.2,1,0.0,1,Weekday,12,1986.9416049147967,396.6768853352715,1991.1912764124063,396.6768853352715,2019-01-23,115.07462686567165,1,0,0.0,0.0,476.1021481958763,368.0370865817035,4.445033015756575,25.0,5,0,0.0,10.0,0.0,1032.9629134182965
2019-01-23 13:00:00,1154.0,22.1,1,0.0,1,Weekday,13,2255.881830646836,0.0,2644.339193734809,0.0,2019-01-23,72.23880597014926,1,0,0.0,0.0,476.1021481958763,363.3568390601446,2.790396860734348,25.0,5,0,0.0,10.0,0.0,750.6431609398554
2019-01-23 14:00:00,2103.0,25.1,1,0.0,1,Weekday,14,2298.603570407113,536.4525279925745,3159.3639714573283,536.4525279925745,2019-01-23,213.8805970149254,1,0,0.0,0.0,476.1021481958763,434.0758340446998,8.261650209570911,350.0,5,15,0.0,181.56178995115144,0.0,1117.3623760041487
2019-01-23 15:00:00,2424.0,27.5,1,0.0,1,Weekday,15,2223.189372090397,557.2398371221248,2683.2611417307644,133.66855444047792,2019-01-23,261.7910447761194,1,0,0.0,0.0,476.1021481958763,466.24058213771445,10.112305978776956,350.0,100,15,0.0,148.33411915621437,0.0,1344.425298706071
2019-01-23 16:00:00,2121.0,28.8,1,0.0,1,Weekday,16,2454.47750969951,693.9348172551984,3693.019002612397,676.8023738013453,2019-01-23,216.56716417910448,1,0,0.0,0.0,476.1021481958763,457.0982696313089,8.365425299432932,350.0,5,15,0.0,179.30947277739492,0.0,1114.5922575912962
2019-01-23 17:00:00,1990.0,29.4,1,0.0,1,Weekday,17,2921.8264283869257,567.297249662327,4211.727413205814,200.87023366142049,2019-01-23,197.01492537313433,1,0,0.0,0.0,476.1021481958763,453.37152621699875,7.610173256548222,175.0,5,0,0.0,10.0,0.0,1346.6284737830013
2019-01-23 18:00:00,1589.0,29.9,1,0.0,1,Weekday,18,2453.803934118277,0.0,3456.4597616463507,0.0,2019-01-23,137.1641791044776,1,0,0.0,0.0,476.1021481958763,434.00898662919644,5.298294865733193,175.0,5,0,0.0,10.0,0.0,964.9910133708036
2019-01-23 19:00:00,1494.0,30.2,1,0.0,1,Weekday,19,2440.3707500911964,585.0946134407498,2881.0246887149324,389.3225210346265,2019-01-23,122.98507462686568,1,0,0.0,0.0,476.1021481958763,430.5022826242514,4.750593002572527,175.0,5,0,0.0,10.0,0.0,873.4977173757486
2019-01-23 20:00:00,1568.0,30.1,1,74.0,1,Weekday,20,2212.6735546660248,307.6054387064364,2385.49945127451,296.33815870225703,2019-01-23,134.02985074626866,1,0,74.0,0.0,476.1021481958763,434.029412228378,5.177223927560836,175.0,5,0,0.0,10.0,0.0,869.9705877716219
